Observación	Modelo	Mejor Ajuste	Parámetro
Obser_8_4	L_P	-3.89889553633	a
Obser_8_4	L_P	1.7711021074	b
Obser_8_4	L_P	4.94960018172	c
Obser_8_4	L_P	-5.58102239424	d
Obser_8_4	L_P	4.30822830643	e
Obser_8_4	L_P	1319.56942897	Likelihood
Obser_8_5	L_P	-16.7394512449	a
Obser_8_5	L_P	-0.91269615671	b
Obser_8_5	L_P	9.52899003644	c
Obser_8_5	L_P	12.7070002899	d
Obser_8_5	L_P	0.563460460754	e
Obser_8_5	L_P	1657.4326418	Likelihood
Obser_8_6	L_P	-16.9798477463	a
Obser_8_6	L_P	-0.645657842849	b
Obser_8_6	L_P	4.76872785878	c
Obser_8_6	L_P	16.2470726631	d
Obser_8_6	L_P	0.371372418334	e
Obser_8_6	L_P	6298.83135415	Likelihood
Obser_8_7	L_G	-14.091800476	a
Obser_8_7	L_G	0.314631786657	b
Obser_8_7	L_G	-0.041188827631	c
Obser_8_7	L_G	-1.28173522836	d
Obser_8_7	L_G	6695.51291492	Likelihood
Obser_8_8	L_P	-0.884768283323	a
Obser_8_8	L_P	-3.70011034989	b
Obser_8_8	L_P	27.3955131304	c
Obser_8_8	L_P	0.732870533841	d
Obser_8_8	L_P	6.78030543761	e
Obser_8_8	L_P	677.88249466	Likelihood
Obser_8_9	L_P	-5.15201476797	a
Obser_8_9	L_P	0.849854076822	b
Obser_8_9	L_P	11.9876789712	c
Obser_8_9	L_P	-0.676804214212	d
Obser_8_9	L_P	1.57082584907	e
Obser_8_9	L_P	526.062239957	Likelihood
Obser_9_0	L_G	115.106681745	a
Obser_9_0	L_G	-3.66088777308	b
Obser_9_0	L_G	-0.127941370255	c
Obser_9_0	L_G	4.60903211161	d
Obser_9_0	L_G	3069.5056609	Likelihood
Obser_9_1	L	-2.1748747587	a
Obser_9_1	L	90.6550698816	b
Obser_9_1	L	1487.42290606	Likelihood
Obser_9_2	L_P	60.8173165451	a
Obser_9_2	L_P	-1.91144664732	b
Obser_9_2	L_P	7.40513406828	c
Obser_9_2	L_P	4.73784983719	d
Obser_9_2	L_P	0.733296739182	e
Obser_9_2	L_P	388.16865356	Likelihood
Obser_9_3	L_P	22.9596818891	a
Obser_9_3	L_P	-3.5745566615	b
Obser_9_3	L_P	24.4049223561	c
Obser_9_3	L_P	0.720601316138	d
Obser_9_3	L_P	0.403175123182	e
Obser_9_3	L_P	668.245592082	Likelihood
Obser_9_4	L_P	29.9834398492	a
Obser_9_4	L_P	0.79189902387	b
Obser_9_4	L_P	-3.33331121963	c
Obser_9_4	L_P	6.52583861057	d
Obser_9_4	L_P	4.4293549692	e
Obser_9_4	L_P	771.437370994	Likelihood
Obser_9_5	L_P	12.747406452	a
Obser_9_5	L_P	1.14417099332	b
Obser_9_5	L_P	-2.87504277618	c
Obser_9_5	L_P	1.93288804739	d
Obser_9_5	L_P	4.21018435021	e
Obser_9_5	L_P	613.442944491	Likelihood
Obser_9_6	L_P	8.52014340174	a
Obser_9_6	L_P	-1.980570758	b
Obser_9_6	L_P	7.84055740876	c
Obser_9_6	L_P	10.7021684672	d
Obser_9_6	L_P	5.5360273824	e
Obser_9_6	L_P	1103.09577607	Likelihood
Obser_9_7	L_P	-62.8259222215	a
Obser_9_7	L_P	9.67246679191	b
